url,status,final_url,redirect_count,title,description,lang,canonical,hreflang,h1_count,h1s,h2_count,robots,googlebot,json_ld_types,json_ld_errors,internal_link_count,external_link_count,image_count,images_without_alt,images_with_empty_alt,bytes,sha256
https://www.studioaether.com/,200,https://www.studioaether.com/,0,Photo Studio in Budapest | aether art space,"aether art space is a creative photo studio in the heart of Budapest, built for portraits, commercial shoots, self photo sessions, and first-time creators.",en,https://www.studioaether.com/,x-default=https://www.studioaether.com/; hu-hu=https://www.studioaether.com/hu; en-us=https://www.studioaether.com/,1,photostudio in Budapest tailored for creation - both for pros and first timers,20,,,LocalBusiness=2; ProfessionalService=2; WebSite=1,,22,5,28,0,5,1080237,79877554bbc19f543cea5213af43397a6a839d0b07f11f2e8406e0c7427ffe96
https://www.studioaether.com/hu,200,https://www.studioaether.com/hu,0,aether art space - kreatív fotóstúdió Budapesten,"Az aether art space kreatív fotóstúdió Budapest szívében portré-, reklám-, szelfi- és első alkalmas fotózásokhoz.",hu,https://www.studioaether.com/hu,x-default=https://www.studioaether.com/; hu-hu=https://www.studioaether.com/hu; en-us=https://www.studioaether.com/,1,fotóstudió Budapesten az alkotáshoz kialakítva - profiknak és első alkalmasoknak is,20,,,LocalBusiness=2; ProfessionalService=1,,22,5,28,0,5,1081513,dbe0c126221ef4058d03943de1857e6a438a4ef3ab42144ba182192552a54a0f
https://www.studioaether.com/studio,200,https://www.studioaether.com/studio,0,Photo Studio Rental in Budapest | Equipped Creative Studio | aether,"Rent a creative photo studio in Budapest with strobes, modifiers, paper backdrops, cameras, furniture, outfits, and props for professional photoshoots.",en,https://www.studioaether.com/studio,x-default=https://www.studioaether.com/studio; hu-hu=https://www.studioaether.com/hu/studio; en-us=https://www.studioaether.com/studio,1,the Studio,7,,,LocalBusiness=1; ProfessionalService=1; Service=1,,22,5,46,0,21,1106347,7a83511330123debbc15b1add3d380513fc70b91970177121eb4df6b3f61190c
https://www.studioaether.com/hu/studio,200,https://www.studioaether.com/hu/studio,0,Fotóstúdió bérlés Budapesten | Felszerelt kreatív stúdió | aether,"Bérelhető fotóstúdió Budapesten vakukkal, fényformálókkal, papírhátterekkel, kamerákkal, bútorokkal és kellékekkel fotózásokhoz.",hu,https://www.studioaether.com/hu/studio,x-default=https://www.studioaether.com/studio; hu-hu=https://www.studioaether.com/hu/studio; en-us=https://www.studioaether.com/studio,1,a stúdió,7,,,LocalBusiness=1; ProfessionalService=1; Service=1,,22,5,46,0,21,1112239,5b2275c688fab55176b0d1a0dc1de2ac5b1af918bf911b4802d4f1b3a4dc782d
https://www.studioaether.com/selfie-studio-budapest,200,https://www.studioaether.com/selfie-studio-budapest,0,Self Photo Studio in Budapest | Private Selfie Photoshoot | aether,"Book a private self photo studio in Budapest and shoot automatically without a photographer. Perfect for friends, couples, solo portraits, and creative content.",en,https://www.studioaether.com/selfie-studio-budapest,x-default=https://www.studioaether.com/selfie-studio-budapest; hu-hu=https://www.studioaether.com/hu/selfie-studio-budapest; en-us=https://www.studioaether.com/selfie-studio-budapest,2,Aether Selfie Studio Budapest’s Premier DIY Photo Experience | Check out our Location in Szeged city!,11,,,LocalBusiness=1; ProfessionalService=1,,22,6,46,0,13,1320038,8181465b3c2dbfa717a7b6f7e20272c3049927daa06f84c52ae4ec561f87f07f
https://www.studioaether.com/hu/selfie-studio-budapest,200,https://www.studioaether.com/hu/selfie-studio-budapest,0,Szelfi stúdió Budapesten | aether art space,"Kreatív, személyre szabható szelfi stúdió Budapesten, ahol barátokkal, pároddal vagy egyedül fotózhatsz automatikusan, fotós nélkül.",hu,https://www.studioaether.com/hu/selfie-studio-budapest,x-default=https://www.studioaether.com/selfie-studio-budapest; hu-hu=https://www.studioaether.com/hu/selfie-studio-budapest; en-us=https://www.studioaether.com/selfie-studio-budapest,2,Aether Szelfi Studio Budapest legjobb csináld-magad fotóstudiója | Nézd meg a Szegedi studiónkat is!,11,,,LocalBusiness=1; ProfessionalService=1,,22,6,46,0,13,1323039,637b15e90109717d397eddd4b5d165341ba15d565dcdb8a995d0ba343bd83e52
https://www.studioaether.com/equipment,200,https://www.studioaether.com/equipment,0,Photo Studio Equipment in Budapest | aether art space,"Explore strobes, light modifiers, paper backdrops, rental cameras, lenses, and photo equipment available at aether art space in Budapest.",en,https://www.studioaether.com/equipment,x-default=https://www.studioaether.com/equipment; hu-hu=https://www.studioaether.com/hu/equipment; en-us=https://www.studioaether.com/equipment,1,equipment,10,,,LocalBusiness=1; ProfessionalService=1; Service=1,,22,5,42,0,0,906130,abf63479f0b3f8529e058835e8ee9f7ac210aa68470bd2c47afffab97ec004d2
https://www.studioaether.com/hu/equipment,200,https://www.studioaether.com/hu/equipment,0,Fotóstúdió felszerelés Budapesten | aether art space,"Vakuk, fényformálók, papírhátterek, bérelhető kamerák, objektívek és fotós eszközök az aether art space budapesti stúdiójában.",hu,https://www.studioaether.com/hu/equipment,x-default=https://www.studioaether.com/equipment; hu-hu=https://www.studioaether.com/hu/equipment; en-us=https://www.studioaether.com/equipment,1,felszerelés és kellékek,10,,,LocalBusiness=1; ProfessionalService=1; Service=1,,22,5,42,0,0,913083,2bf83e07b58090c8f3fbada3cf62c142ef6deab9162edcca4b86372e3a45610e
https://www.studioaether.com/props,200,https://www.studioaether.com/props,0,Photo Props & Furniture in Budapest | aether art space,"Explore photo props, furniture, outfits, and accessories for creative photo shoots at aether art space in Budapest.",en,https://www.studioaether.com/props,x-default=https://www.studioaether.com/props; hu-hu=https://www.studioaether.com/hu/props; en-us=https://www.studioaether.com/props,1,props,8,,,LocalBusiness=1; ProfessionalService=1; Service=1,,22,5,89,0,85,1836510,2a5fb6ad9a87564680bd58148c605169e9dcb6f123690a571b29615c37833355
https://www.studioaether.com/hu/props,200,https://www.studioaether.com/hu/props,0,Fotós kellékek és bútorok Budapesten | aether art space,"Fotós kellékek, bútorok, ruhák és kiegészítők kreatív fotózásokhoz az aether art space budapesti stúdiójában.",hu,https://www.studioaether.com/hu/props,x-default=https://www.studioaether.com/props; hu-hu=https://www.studioaether.com/hu/props; en-us=https://www.studioaether.com/props,1,kellékek,8,,,LocalBusiness=1; ProfessionalService=1; Service=1,,22,5,89,0,85,1836229,5a895cafcf4ffccf3207a838099d96ab8d6934a8d89c154bede5539603480dc1
https://www.studioaether.com/photographers-budapest,200,https://www.studioaether.com/photographers-budapest,0,Photographers in Budapest | aether art space,"Hire a professional photographer in our Budapest studio for portrait, glamour, business, boudoir or any other kind of photoshoot.",en,https://www.studioaether.com/photographers-budapest,x-default=https://www.studioaether.com/photographers-budapest; hu-hu=https://www.studioaether.com/hu/photographers-budapest; en-us=https://www.studioaether.com/photographers-budapest,1,resident photographers,6,,,LocalBusiness=1; ProfessionalService=1; Service=1,,23,9,28,0,0,862940,34c809f03d69cfe9146f42c4dd840ff85fa751c7abb42912e8b7eef5eaaeed92
https://www.studioaether.com/hu/photographers-budapest,200,https://www.studioaether.com/hu/photographers-budapest,0,Fotósok Budapesten | aether art space,"Ismerd meg az aether art space budapesti fotósait portré-, üzleti, glamour, boudoir, modell és kreatív fotózásokhoz.",hu,https://www.studioaether.com/hu/photographers-budapest,x-default=https://www.studioaether.com/photographers-budapest; hu-hu=https://www.studioaether.com/hu/photographers-budapest; en-us=https://www.studioaether.com/photographers-budapest,1,rezidens fotósaink,6,,,LocalBusiness=1; ProfessionalService=1; Service=1,,23,9,28,0,0,865300,6f42431f5eecf0aa2c68029d1a3324bc76bc6e2e0c7237cc34e5a4c8c7f71260
https://www.studioaether.com/models-budapest,200,https://www.studioaether.com/models-budapest,0,Models in Budapest | aether art space,"Meet models available for photo shoots, campaigns, creative projects, and portfolio work at aether art space in Budapest.",en,https://www.studioaether.com/models-budapest,x-default=https://www.studioaether.com/models-budapest; hu-hu=https://www.studioaether.com/hu/models-budapest; en-us=https://www.studioaether.com/models-budapest,1,trusted models,17,,,LocalBusiness=1; ProfessionalService=1; Service=1,,22,6,24,0,18,2647639,4ea40c72f7a19be2fd2660eb2b36a946b2160a417f74c01c4441c6c9b350d893
https://www.studioaether.com/hu/models-budapest,200,https://www.studioaether.com/hu/models-budapest,0,Modellek Budapesten | aether art space,"Ismerd meg az aether art space modelljeit budapesti fotózásokhoz, kreatív projektekhez, kampányokhoz és portfólióépítéshez.",hu,https://www.studioaether.com/hu/models-budapest,x-default=https://www.studioaether.com/models-budapest; hu-hu=https://www.studioaether.com/hu/models-budapest; en-us=https://www.studioaether.com/models-budapest,1,kedvenc modelleink,17,,,LocalBusiness=1; ProfessionalService=1; Service=1,,22,6,24,0,18,2648655,8e28bf17455b992585581003db362997728f206a4335c5ee8cbeb903a9eeb27b
https://www.studioaether.com/stylists,200,https://www.studioaether.com/stylists,0,Stylists & Brand Designers in Budapest | aether art space,"Find stylists and personal brand designers in Budapest for photoshoots, creative direction, wardrobe styling, and visual identity support at aether art space.",en,https://www.studioaether.com/stylists,x-default=https://www.studioaether.com/stylists; hu-hu=https://www.studioaether.com/hu/stylists; en-us=https://www.studioaether.com/stylists,1,styling and personal brand design,6,,,LocalBusiness=1; ProfessionalService=1; Service=1,,22,6,13,0,0,828645,547e55ffabf744e8f5ec10576ce5bd5b2492b03b279be0d246b0e690b9f4a77e
https://www.studioaether.com/hu/stylists,200,https://www.studioaether.com/hu/stylists,0,Stylistok és énmárka tervezők Budapesten | aether art space,"Találj stylistokat és énmárka tervezőket Budapesten fotózásokhoz, kreatív irányításhoz, ruhastylinghoz és vizuális megjelenésed kialakításához.",hu,https://www.studioaether.com/hu/stylists,x-default=https://www.studioaether.com/stylists; hu-hu=https://www.studioaether.com/hu/stylists; en-us=https://www.studioaether.com/stylists,1,styling és énmárka tervezés,6,,,LocalBusiness=1; ProfessionalService=1; Service=1,,22,6,13,0,0,831230,0c8bd5df7bf2094e01f0e81999d163f2951521507b0d73e0d4557c56800cf10f
https://www.studioaether.com/make-up-artists,200,https://www.studioaether.com/make-up-artists,0,Make-up Artists & Hair Stylists in Budapest | aether art space,"Find make-up artists and hair stylists in Budapest for portrait, fashion, glamour, boudoir, business, and creative photo shoots.",en,https://www.studioaether.com/make-up-artists,x-default=https://www.studioaether.com/make-up-artists; hu-hu=https://www.studioaether.com/hu/make-up-artists; en-us=https://www.studioaether.com/make-up-artists,1,"resident make-up artists, hair stylists and fashion stylists",6,,,LocalBusiness=1; ProfessionalService=1; Service=1,,22,9,37,0,0,857424,77525c605d87d51ac8f5d6cdbdc2521fef553f35ac5a1ccbc5ddc64cf1a0c4d1
https://www.studioaether.com/hu/make-up-artists,200,https://www.studioaether.com/hu/make-up-artists,0,Sminkesek és fodrászok Budapesten | aether art space,"Találj sminkeseket és fodrászokat Budapesten portré-, divat-, glamour, boudoir, üzleti és kreatív fotózásokhoz.",hu,https://www.studioaether.com/hu/make-up-artists,x-default=https://www.studioaether.com/make-up-artists; hu-hu=https://www.studioaether.com/hu/make-up-artists; en-us=https://www.studioaether.com/make-up-artists,1,"rezidens sminkesek, fodrászok, stylistok",6,,,LocalBusiness=1; ProfessionalService=1; Service=1,,22,9,37,0,0,859007,feeb3add0cb44749410eb903b3d041105c3946522a3805953bfddef985b31b6b
